id,cause_of_death,region_origin,missing,dead,incident_region,date,source,reliability,lat,lon,affected_nationality
75383,Shot,MENA,0.0,1.0,Middle East ,14/02/2016,Syria Observatory for Human Rights,Verified,36.62561772,37.12821085,Syria
75384,Shot,MENA,0.0,1.0,Middle East ,16/06/2016,Syria Observatory for Human Rights,Verified,36.01397333,36.38811003,Syria
75385,Shot,MENA,0.0,1.0,Middle East ,07/03/2016,Syria Observatory for Human Rights,Verified,36.65411693,38.77403582,Syria
75386,Shot,MENA,0.0,1.0,Middle East ,08/06/2016,Syria Observatory for Human Rights,Verified,36.08170414,36.3922299,Syria
75387,Shot,MENA,0.0,1.0,Middle East ,11/03/2016,Syria Observatory for Human Rights,Verified,36.73830995,36.86380053,Syria
75388,Shot,MENA,0.0,1.0,Middle East ,27/05/2016,Syria Observatory for Human Rights,Verified,36.79446481,40.03372023,Syria
75389,Shot,MENA,0.0,1.0,Middle East ,21/05/2016,Syria Observatory for Human Rights,Verified,36.64324617,39.21134327,Syria
75390,Shot,MENA,0.0,1.0,Middle East ,06/04/2016,Syria Observatory for Human Rights,Verified,36.84969068,40.06338857,Syria
75391,Shot,MENA,0.0,1.0,Middle East ,14/04/2016,Syria Observatory for Human Rights,Verified,36.18752463,36.39472671,Syria
75392,Shot,MENA,0.0,1.0,Middle East ,18/04/2016,Syria Observatory for Human Rights,Verified,36.68224167,36.68033496,Syria
75393,Shot,MENA,0.0,1.0,Middle East ,10/05/2016,Syria Observatory for Human Rights,Verified,36.67551845,38.96757661,Syria
75394,Shot,MENA,0.0,1.0,Middle East ,19/04/2016,Syria Observatory for Human Rights,Verified,36.23432373,36.52183856,Syria
75395,Shot,MENA,0.0,1.0,Middle East ,21/04/2016,Syria Observatory for Human Rights,Verified,35.94951951,36.20820891,Syria
75396,Shot,MENA,0.0,1.0,Middle East ,07/05/2016,Syria Observatory for Human Rights,Verified,36.65666193,39.45019421,Syria
76579,Drowning,Sub-Saharan Africa,0.0,1.0,Mediterranean,22/06/2016,Reuters,Partially Verified,32.88550997,12.53136158,Nigeria
76580,Drowning,Horn of Africa,17.0,0.0,Mediterranean,25/06/2016,"IOM Italy, UNHCR",Verified,34.06769542,18.0686552,Ethiopia
